Institution,Address,Country 
Indian Institute of Technology Roorkee,"Roorkee, Haridwar District, Uttarakhand 247667, India",India
Indiana University,"107 S Indiana Ave, Bloomington, IN 47405, USA",USA
Industriegewerkschaft Metall,"IG Metall Wilhelm-Leuschner-Str. 79 60329 Frankfurt, Germany",Germany
Industriens Uddannelsessekretariat,"Vesterbrogade 6 D, 4., 1620 København V, Denmark ",Denmark 
"Infinite Interactive LTD, UK","12 John Princes Street, London, England, W1G 0JR, UK",UK
Infosys Labs,"Electronics City, Hosur Road, Bangalore, Karnataka 56010, India",India
"Infosys Ltd. Bangalore, India","Plot No. 44, Hosur Road, Konappana Agrahara, Electronic City, Bengaluru, Karnataka 560100, India",India
Ing Groep,"Amsterdam, Netherlands",Netherlands
Innopolis University,"Universitetskaya St, 1, Innopolis, Republic of Tatarstan, Russia, 420500",Russia
Innovationsnetværk for IT - InfinIT,"Selma Lagerlöfs Vej 300. Aalborg, 9220, Denmark",Denmark
"Inria, CNRS, Universite de Lorraine","615 Rue du Jardin Botanique, 54600 Villers-lès-Nancy, France",France
Institut commercial de Nancy Business School,"86 Rue sergent Blandan, 54000 Nancy, France",France
Institut Polytechnique de Paris,"Rte de Saclay, 91120 Palaiseau, France",France
Institute for Advanced Studies in Basic Sciences,"Zanjan, Sobouti Blvd, No. 444, Prof. Yousef, Iran",Iran
Institute for Basic Science,"Daejeon, South Korea",South Korea
"Institute for Education, Research, and Scholarships","800 Wilshire Blvd, Los Angeles, CA 90017, USA",USA
Institute for Frontier Areas of Psychology and Mental Health,"Wilhelmstr. 3a, 79098 Freiburg, Germany",Germany
Institute for Renewable Energy – EURAC Research,"Via Alessandro Volta, 13A, 39100 Bolzano BZ, Italy",Italy
Institute for Scientific Interchange Foundation,"Via Chisola, 5, 10126 Torino, Italy",Italy
Institute of Tropical Medicine Antwerp,"Kronenburgstraat 43, 2000 Antwerpen, Belgium",Belgium
Instituto de Telecomunicações,"Avenida Rovisco Pais, 1, 1049-001 Lisbon, Portugal",Portugal
Instituto Potosino de Investigación Científica y Tecnológica,"Cam. a la Presa de San José 2055, Lomas 4ta Secc, 78216 San Luis Potosí, S.L.P., Mexico",Mexico
Instituto Superior Tecnológico 17 de Julio,"9V5F+VV6, Otavalo, Ibarra, Ecuador",Ecuador
Instituto Universitário de Lisboa (ISCTE-IUL),"Av. das Forças Armadas, 1649-026 Lisboa, Portugal",Portugal
Institutt for informasjon- og medievitenskap - Universitetet i Bergen,"Lars Hilles gate 30, 5008 Bergen, Norway",Norway
Intel,"Santa Clara, California, USA",USA
Intel Labs,"2200 Mission College Blvd, Santa Clara, CA 95054, USA",USA
Interactive Institute,"Isafjordsgatan 22, Kista, Sweden",Sweden
International University of Rabat,"Shore Rocade, Rocade S, Rabat 11103, Morocco",Morocco
IOHK Research,"5th Floor, Kings Building, Maynooth University, Maynooth, Co. Kildare, Ireland",Ireland
Ithaca College,"953 Danby Rd, Ithaca, NY 14850, USA",USA
"ITI/LARSyS, ARDITI","Caminho da Penteada, Funchal, Madeira, Portugal",Portugal
IULM University Milan,"Via Carlo Bo, 1, 20143 Milano MI, Italy",Italy
Japanordic,"Toftholm Alle 7 2900 Hellerup, Denmark",Denmark
Jilin University,"China, Jilin, Changchun, Chaoyang District, Changchun, 前进大街2699号 邮政编码: 130012",China
"Jivass Technologies,","1st Floor, Ashwamedha, contact@jivass.com, 121, Velachery Main Rd, Guindy, Chennai, Tamil Nadu 600032, India",India
Johann Wolfgang Goethe University,"Theodor-W.-Adorno-Platz 1, 60629 Frankfurt am Main, Germany",Germany
Johannes Gutenberg University Mainz,"Saarstraße 21, 55122 Mainz, Germany",Germany
Johannes Kepler University Linz,"Altenberger Str. 69, 4040 Linz, Austria",Austria
Johns Hopkins University,"Baltimore, MD 21218, USA",USA
Johnson & Johnson Innovative Medicine,"One Johnson & Johnson Plaza, New Brunswick, NJ 08933, USA",USA
Johnson & Johnson Medical BV,"De Rondom 1, 5612 AP Eindhoven, Netherlands",Netherlands
Jönköping University,"Gjuterigatan 5, 553 18 Jönköping, Sweden",Sweden
Jozef Stefan Institute,"Jamova cesta 39, 1000 Ljubljana, Slovenia",Slovenia
KAI Kompetenzzentrum Automobil- und Industrieelektronik GmbH,"Europastraße 8, 9524 Villach, Austria",Austria
Kansai University,"3 Chome-3-35 Yamatecho, Suita, Osaka 564-8680, Japan",Japan
Karlsruhe Institute of Technology,"Kaiserstraße 12, 76131 Karlsruhe, Germany",Germany
Karlsruher Institut für Technologie,"Kaiserstraße 12, 76131 Karlsruhe, Germany",Germany
Karlstad University,"Universitetsgatan 2, 651 88 Karlstad, Sweden",Sweden
Karolinska Institutet,"Solnavägen 1, 171 77 Solna, Sweden",Sweden
Keele University,"Keele, Newcastle ST5 5BG, UK",UK
Keio University,"2 Chome-15-45 Mita, Minato City, Tokyo 108-0073, Japan",Japan
King's College London,"Strand, London WC2R 2LS, UK",UK
Københavns Kommune,"Rådhuspladsen, 1599 København V, Denmark",Denmark
Koç University,"Rumelifeneri, Sarıyer Rumeli Feneri Yolu, 34450 Sarıyer/İstanbul, Türkiye",Turkey
Köln University of Applied Sciences,"Ubierring 48, 50678 Köln, Germany",Germany
Konstfack,"Konstfack Box 3601. S-126 27 Stockholm, Sweden",Sweden
Kookmin University,"77 Jeongneung-ro, Seongbuk District, Seoul, South Korea",South Korea
Kore University of Enna,"Piazza dell'Università, 94100 Enna EN, Italy",Italy
Korea Advanced Institute of Science and Technology,"291 Daehak-ro, Yuseong District, Daejeon, South Korea",South Korea
Kristiania University College,"Kirkegata 24-26, 0153 Oslo, Norway",Norway
KTH Royal Institute of Technology,"Brinellvägen 8, 114 28 Stockholm, Sweden",Sweden
KU Leuven,"Oude Markt 13, 3000 Leuven, Belgium",Belgium
Kulturstyrelsen,"Hammerichsgade 14, DK-1611, 1553 København",Denmark
Kvorning Design,"Njalsgade 21E, 2300 København",Denmark
Kyoto University,"Yoshidahonmachi, Sakyo Ward, Kyoto, 606-8501, Japan",Japan
Kyushu Institute of Technology,"1-1 Sensuicho, Tobata Ward, Kitakyushu, Fukuoka 804-8550, Japan",Japan
Kyushu University,"Fukuoka, Fukuoka, Japan",Japan
La Trobe University,"Melbourne Plenty Road, Bundoora, Melbourne VIC 3086, Australia",Australia
Laboratoire d'informatique de Grenoble,"Bâtiment IMAG, 700 Av. Centrale, 38401 Saint-Martin-d'Hères, France",France
"Laboratory of Cognitive Neuroscience, EPFL","EPFL-SV-INX-LNCO Campus Biotech H4 Chemin des Mines 9, CH-1202, Geneva, Switzerland",Switzerland
Laerdal Medical,"Njalsgade 19 D, 2300 København",Denmark
Lancaster University,"Bailrigg, Lancaster LA1 4YW, UK",UK
Lappeenranta–Lahti University of Technology,"Yliopistonkatu 34, 53850 Lappeenranta, Finland",Finland
LCO Prime AB,"Krokvägen 6 122 62, Enskede, Stockholm, Sweden",Sweden
Leibniz Universität Hannover,"Welfengarten 1, 30167 Hannover, Germany",Germany
Leibniz University Hannover,"Welfengarten 1, 30167 Hannover, Germany",Germany
Leiden University,"Rapenburg 70, 2311 EZ Leiden, Netherlands",Netherlands
Leipzig University,"Augustuspl. 10, 04109 Leipzig, Germany",Germany
Lero,"University of Limerick, Tierney Centre, Dromroe, Limerick, Ireland",Ireland
"LFCS, School of Informatics, Edinburgh University","Appleton Tower, 10 Crichton St, Newington, Edinburgh EH8 9AB, UK",UK
Liberos LLC,"Greater Los Angeles Area, West Coast, USA",USA
Liege Game Lab,"Quai Roosevelt, 1B Bât. A4 - Bureau (-1/20) B-4000 Liège, Belgium",Belgium
LightingDesign.dk,"Vesterbrogade 24, 1620 Copenhagen V, Denmark",Denmark
LimeSense AB,"Södra Promenaden 51, 211 38 Malmö, Sweden",Sweden
Linköping University,"581 83 Linköping, Sweden",Sweden
Linnaeus University,"Universitetsplatsen 1, 352 52 Växjö, Sweden",Sweden
lllinois State University,"100 N University St, Normal, IL 61761, USA",USA
London Knowledge Lab,"23-29 Emerald St, London WC1N 3QS, UK",UK
Loughborough University,"Epinal Way, Loughborough LE11 3TU, UK",UK
Louisiana Museum of Modern Art,"Gl Strandvej 13, 3050 Humlebæk",Denmark
Ludwig Maximilian University of Munich,"Geschwister-Scholl-Platz 1, 80539 München, Germany",Germany
Lugus Studios,"Aldestraat 48, 3500 Hasselt, Belgium",Belgium
Luleå University of Technology,"971 87 Luleå, Sweden",Sweden
Lund University,"Lund, Sweden",Sweden
Luxembourg Institute of Science and Technology,"5, Avenue des Hauts-Fourneaux, 4362 Esch-sur-Alzette, Luxembourg",Luxembourg
Maastricht University,"Minderbroedersberg 4-6, 6211 LK Maastricht, Netherlands",Netherlands
Macquarie University,"Balaclava Rd, Macquarie Park NSW 2109, Australia",Australia
Makerere University,"7062 University Rd, Kampala, Uganda",Uganda
MakerSpace Foundation,"51 Station Drive, Morningside, Durban, KwaZulu-Natal, 4001, South Africa",South Africa
Mälardalen University,"Universitetsplan 1, 722 20 Västerås, Sweden",Sweden
Malmö University,"Nordenskiöldsgatan 1, 211 19 Malmö, Sweden",Sweden
Manchester Metropolitan University,"Ormond, Lower Ormond St, Manchester M15 6BX, UK",UK
Martin Luther University Halle-Wittenberg,"06108 Halle (Saale), Germany",Germany
Masaryk University,"Žerotínovo nám. 617/9, 601 77 Brno, Czechia",Czechia
Massachusetts Institute of Technology,"77 Massachusetts Ave, Cambridge, MA 02139, USA",USA
Mavenoid,"Regeringsgatan 65, 111 56 Stockholm, Sweden",Sweden
Max Planck Institute for Human Development,"Lentzeallee 94, 14195 Berlin, Germany",Germany
Max Planck Institute for Informatics,"Campus, Stuhlsatzenhausweg E1 4, 66123 Saarbrücken, Germany",Germany
Max Planck Institute for Intelligent Systems,"Heisenbergstraße 3, 70569 Stuttgart, Germany",Germany
Max Planck Society for the Advancement of the Sciences,"Hofgartenstraße 8, 80539 München, Germany",Germany
Maynooth University,"Maynooth, Co. Kildare, Ireland",Ireland
McGill University,"845 Sherbrooke St W, Montreal, Quebec H3A 0G4, Canada",Canada
Mediterranean Institute of Technology,"Av. du Rial, Tunisia",Tunisia
Merck KGaA,"Darmstadt, Germany",Germany
Meta,"Menlo Park, California, USA",USA
Meta AI,"1 Hacker Way, Menlo Park, CA 94025, USA",USA
Metropolitan University College - Former organisation.  01/01/2018.  Taken over by University College Copenhagen,"Sigurdsgade 26, 2200 Copenhagen N, Denmark",Denmark
Meyer Werft,"Industriegebiet Süd, 26871 Papenburg, Germany",Germany
Microsoft,"Redmond, Washington, USA",USA
Microsoft Research,"21 Station Rd, Cambridge CB1 2FB, UK",UK
Microsoft Research Cambridge,"21 Station Rd, Cambridge CB1 2FB, UK",UK
MID KTH,"Lindstedtsvägen 5, 100 44 Stockholm, Sweden",Sweden
Middlesex University,"The Burroughs, London NW4 4BT, UK",UK
MITRE Corporation,"McLean, Virginia, USA",USA
Mobile Life Centre,"Isafjordsgatan 39, 164 40 Kista, Stockholm, Sweden",Sweden
modl.ai,"Fruebjergvej 3, 2100 Copenhagen, Denmark",Denmark
Modul University Vienna,"Am Kahlenberg 1, 1190 Wien, Austria",Austria
Moesgaard Museum,"Moesgård Allé 15, 8270 Højbjerg",Denmark
Mohamed bin Zayed University of Artificial Intelligence,Masdar City - Abu Dhabi - United Arab Emirates,United Arab Emirates
Mohammed VI Polytechnic University,"Lot 660, Ben Guerir 43150, Morocco",Morocco
Moholy-Nagy University of Art and Design,"Budapest, Zugligeti út 9, 1121 Hungary",Hungary
Monash University,"Wellington Rd, Clayton VIC 3800, Australia",Australia
Mother Teresa University,"7F9J+MFM, Attuvampatti, Kodaikanal, Tamil Nadu 624101, India",India
Mozilla Foundation,"San Francisco, California, USA",USA
mPower Social Enterprises Ltd,"Level 10 House 77, Nur Empori, Road 11 Banani Bridge, Dhaka 1213, Bangladesh",Bangladesh
MUNCH,"Edvard Munchs Plass 1, 0194 Oslo, Norway",Norway
Munster Technological University,"Clash Road, Clash West, Tralee, Co. Kerry, Ireland",Ireland
Museum für Naturkunde - Leibniz Institute for Evolution and Biodiversity Science,"Invalidenstraße 43, 10115 Berlin, Germany",Germany
Museum Midtjylland,"Administrationen, Vestergade 20, 7400 Herning",Denmark
"Nagasaki University,","1-14 Bunkyomachi, Nagasaki, 852-8131, Japan",Japan
Namibia University of Science and Technology,"13 Storch Street, Windhoek, Khomas Region, Namibia",Namibia
Nanyang Technological University,"50 Nanyang Ave, Singapore 639798",Singapore
National and Kapodistrian University of Athens,"Athens 157 72, Greece",Greece
National Autonomous University of Mexico,"Av. Universidad 3004, Copilco Universidad, Coyoacán, 04510 Ciudad de México, CDMX, Mexico",Mexico
National ICT Australia,"Sydney, Australia",Australia
National Institute of Advanced Industrial Science and Technology,"1-1-1 Umezono, Tsukuba, Ibaraki 305-8560, Japan",Japan
National Research Council of Italy,"Piazzale Aldo Moro, 7, 00185 Roma RM, Italy",Italy
National Technical University of Athens,"Leof. Alimou Katechaki, Zografou 157 72, Greece",Greece
National University of Colombia,"Ave Cra 30 #45-3, Bogotá, Colombia",Colombia
National University of Ireland,"49 Merrion Square E, Dublin 2, D02 V583, Ireland",Ireland
National University of Mongolia,"WWF9+6H6, SBD - 6 khoroo, Ulaanbaatar 14200, Mongolia",Mongolia
National University of Singapore,"21 Lower Kent Ridge Rd, Singapore 119077",Singapore
NaturBornholm,"Grønningen 30, 3720 Aakirkeby",Denmark
Naver AI Lab,"178-1 Jeongja-dong, Bundang-gu, Seongnam-si, Gyeonggi-do 13561, South Korea",South Korea
NEC Laboratories Europe GmbH,"Kurfürsten-Anlage 36, 69115 Heidelberg, Germany",Germany
NEOMA Business School,"1 Rue du Maréchal Juin, 76130 Mont-Saint-Aignan, France",France
Netcompany IT & Business Consulting A/S,"Strandgade 3, 1401 København",Denmark
New Jersey Institute of Technology,"323 Dr Martin Luther King Jr Blvd, Newark, NJ 07102, USA",USA
New York University,"New York, NY 10012, USA",USA
Newcastle University,"Newcastle upon Tyne NE1 7RU, UK",UK
NextGame,"Aleksanterinkatu 9 A, 00100 Helsinki, Finland",Finland
NII - National Institute of Informatics,"2 Chome-1-2 Hitotsubashi, Chiyoda City, Tokyo 101-0003, Japan",Japan
Nokia Bell Labs,"600 Mountain Avenue, Murray Hill, NJ 07974, USA",USA
NordForsk,"Stensberggata 27, 0170 Oslo, Norway",Norway
Nordic Bioscience,"Herlev Hovedgade 205, 2730 Herlev",Denmark
Nordic Institute of Health Economics,"Gammel Munkegade 1, 1st Floor, 8000 Aarhus C, Denmark",Denmark
North Carolina State University,"Raleigh, NC 27695, USA",USA
Northeastern University,"360 Huntington Ave, Boston, MA 02115, USA",USA
Northern Arizona University,"S San Francisco St, Flagstaff, AZ 86011, USA",USA
Northumbria University,"Ellison Pl, Newcastle upon Tyne NE1 8ST, UK",UK
Northwestern University,"633 Clark St, Evanston, IL 60208, USA",USA
Norwegian University of Science and Technology,"Høgskoleringen 1, 7034 Trondheim, Norway",Norway
Nottingham Trent University,"50 Shakespeare St, Nottingham NG1 4FQ, UK",UK
NOVA University Lisbon,"1099-085 Lisbon, Portugal",Portugal
Novo Nordisk Foundation,Hellerup,Denmark
NTT - Nippon Telegraph and Telephone Corporation,"Chiyoda City, Tokyo, Japan",Japan
Ny Carlsberg Glyptotek,"Dantes Plads 7, 1556 København",Denmark
OCAD University,"100 McCaul St, Toronto, ON M5T 1W1, Canada",Canada
Octotext AB,"Svartågatan 80, 1101, 128 45 Bagarmossen, Sweden",Sweden
OFFIS institute for information technology,"Escherweg 2, 26121 Oldenburg, Germany",Germany
Økonomi- og Indenrigsministeriet,"Slotsholmsgade 10, 1216 Copenhagen K, Denmark",Denmark
Old Dominion University,"5115 Hampton Blvd, Norfolk, VA 23529, USA",USA
Open Data Institute,"5th Floor, Kings Place, 90 York Way, London N1 9AG, UK",UK
Open Earth Foundation,"Marina Del Rey, CA 90292, USA",USA
Open University of Catalonia,"Rambla del Poblenou, 154-156, Sant Martí, 08018 Barcelona, Spain",Spain
Oracle Corporation,"Austin, Texas, USA",USA
Orange Labs,"38-40 rue du Général Leclerc, 92794 Issy-les-Moulineaux Cedex 9, France",France
Örebro University,"Fakultetsgatan 1, 701 82 Örebro, Sweden",Sweden
Osaka Medical and Pharmaceutical University,"1-1 Daigakumachi, Takatsuki, Osaka 569-8686, Japan",Japan
Osaka Prefecture University,"Japan, 〒599-8531 Osaka, Sakai, Naka Ward, Gakuencho, １番１号",Japan
Oslo and Akershus University College of Applied Sciences,"Clara Holsts hus, Pilestredet 46, 0167 Oslo, Norway",Norway
Oslo Metropolitan University,"Pilestredet Park 0890, 0176 Oslo, Norway",Norway
Oslo National Academy of the Arts,"Fossveien 24, 0551 Oslo, Norway",Norway
Østfold University College,"B R A Veien 4, 1757 Halden, Norway",Norway
Ottawa Hospital Research Institute,"501 Smyth Road, Ottawa, Ontario, K1H 8L6, Canada",Canada
Paderborn University,"Universität Paderborn, Warburger Str. 100, 33098 Paderborn, Germany",Germany
Palo Alto Research Center,"Palo Alto, California, USA",USA
Pamplin College of Business,"880 W Campus Dr, Blacksburg, VA 24061, USA",USA
Parameter Lab,"Karlstrasse 3, 72072 Tuebingen, Germany",Germany
Paris Diderot University,"5 Rue Thomas Mann, 75013 Paris, France",France
Paris Sciences et Lettres University,"60 Rue Mazarine, 75006 Paris, France",France
Pedal Me,"London, UK",UK
Peking University,"5 Yiheyuan Rd, Haidian District, Beijing, China, 100871",China
Pensylvania State University,"201 Old Main, University Park, PA 16802, USA",USA
Personas Technology Ltd,"30 Club Row, Clifton House, Bethnal Green, London, E2 7HB, UK",UK
Polytechnic Institute of Paris,"Rte de Saclay, 91120 Palaiseau, France",France
Polytechnic University of Catalonia,"Carrer de Jordi Girona, 31, Les Corts, 08034 Barcelona, Spain",Spain
Polytechnic University of Milan,"Piazza Leonardo da Vinci, 32, 20133 Milano MI, Italy",Italy
Polytechnic University of Turin,"Corso Castelfidardo, 39, 10129 Torino TO, Italy",Italy
Polytechnic University of Valencia,"Camí de Vera, s/n, Algirós, 46022 València, Valencia, Spain",Spain
Pompeu Fabra University,"Carrer de la Mercè, 12, Ciutat Vella, 08002 Barcelona, Spain",Spain
Pontifical Catholic University of Rio de Janeiro,"Gávea, Rio de Janeiro - State of Rio de Janeiro, Brazil",Brazil
Pontifical Catholic University of Rio Grande do Sul,"Av. Ipiranga, 6681 - Partenon, Porto Alegre - RS, 90619-900, Brazil",Brazil
Pontificial Catholic University of Parana,"R. Imac. Conceição, 1155 - Prado Velho, Curitiba - PR, 80215-901, Brazil",Brazil
Portland State University,"1825 SW Broadway, Portland, OR 97201, USA",USA
Preely,"Langebrogade 4, 1411 København K",Denmark
Princeton University,"Princeton, NJ 08544, USA",USA
Protocol Labs,"548 Market Street, PMB 57558, San Francisco, CA 94104-5401, USA",USA
Psychological Society of Ireland,"Digital Office Centre Camden, 12 Camden Row, Saint Kevin's, Dublin 8, D08 R9CN, Ireland",Ireland
Public University of Navarra,"Av. Cataluña, s/n, 31006 Pamplona, Navarra, Spain",Spain
Purdue University,"610 Purdue Mall, West Lafayette, IN 47907, USA",USA
Qatar Computing Research institute,"8CCG+J8J, Ar-Rayyan, Qatar",Qatar
Queen Mary University of London,"Mile End Road, London E1 4NS, UK",UK
Queen’s University,"99 University Ave, Kingston, ON K7L 3N6, Canada",Canada
Queensland University of Technology,"2 George St, Brisbane City QLD 4000, Australia",Australia
Radboud University Nijmegen,"Houtlaan 4, 6525 XZ Nijmegen, Netherlands",Netherlands
"Rangeland Resources and Systems Research Unit, USA Department of Agriculture, Agricultural Research Service","1701 Centre Avenue, Fort Collins, CO 80526, USA",USA
Reichman University,"האוניברסיטה 8 8, Herzliya, 4610101, Israel",Israel
Rensselaer Polytechnic Institute,"110 8th St, Troy, NY 12180, USA",USA
Research Institute Computer And Systems Aléatoires,"263 Avenue Général Leclerc, 35042 Rennes Cedex, France",France
Research Institute in Communications and Cybernetic of Nantes - Ecole Centrale de Nantes,"1 Rue de la Noë, 44300 Nantes, France",France
Reutlingen University,"Alteburgstraße 150, 72762 Reutlingen, Germany",Germany
Reykjavík University,"Menntavegur 1, 102, 101 Reykjavík, Iceland",Iceland
RheinMain University of Applied Sciences,"Kurt-Schumacher-Ring 18, 65197 Wiesbaden, Germany",Germany
Rhodes University,"Drosty Rd, Makhanda, 6139, South Africa",South Africa
Rice University,"6100 Main St, Houston, TX 77005, USA",USA
Rigshospitalet,"Blegdamsvej 9, 2100 København Ø, Denmark",Denmark
RIKEN Center for Advanced Intelligence Project,"2-1 Hirosawa, Wako, Saitama 351-0198, Japan",Japan
RIKEN Center for Computational Science,"7 Chome-1-26 Minatojima Minamimachi, Chuo Ward, Kobe, Hyogo 650-0047, Japan",Japan
Ritsumeikan University,"56-1 Tojiin Kitamachi, Kita Ward, Kyoto, 603-8577, Japan",Japan
"RMIT, Design Practices","445 Swanston Street, Melbourne, Victoria 3000, Australia",Australia
Rochester Institute of Technology,"1 Lomb Memorial Dr, Rochester, NY 14623, USA",USA
Roskilde University,"Universitetsvej 1, 4000 Roskilde",Denmark
Rowan University,"201 Mullica Hill Rd, Glassboro, NJ 08028, USA",USA
Royal Danish Academy,"Philip De Langes Allé 10, 1435 København",Denmark
Royal Melbourne Institute of Technology,"124 La Trobe St, Melbourne VIC 3000, Australia",Australia
Ruhr University Bochum,"Universitätsstraße 150, 44801 Bochum, Germany",Germany
Rutgers University,"New Brunswick, NJ 08901, USA",USA
RWTH Aachen University,"Templergraben 55, 52062 Aachen, Germany",Germany
Ryerson University,"350 Victoria St, Toronto, ON M5B 2K3, Canada",Canada
Saarland University,"Campus, 66123 Saarbrücken, Germany",Germany
"Saïd Business School, University of Oxford","Park End St, Oxford OX1 1HP, UK",UK
Saint Louis University,"1 N Grand Blvd, St. Louis, MO 63103, USA",USA
Saint Mary's University of Minnesota,"700 Terrace Heights, Winona, MN 55987-1399, USA",USA
Samsung Semiconductor Denmark Research,"Flæsketorvet 68, 1711 København",Denmark
Sant'Anna School of Advanced Studies,"Piazza Martiri della Libertà, 33, 56127 Pisa PI, Italy",Italy
SAP Research,"Dietmar-Hopp-Allee 16, 69190 Walldorf, Germany",Germany
Sapienza University of Rome,"Piazzale Aldo Moro, 5, 00185 Roma RM, Italy",Italy
ScaDS.AI,"Humboldtstraße 25, 04105 Leipzig, Germany",Germany
"School of Architecture, Planning and Landscape, Newcastle University","University, Newcastle upon Tyne NE1 7RU, UK",UK
Schwyz University of Teacher Education,"Zaystrasse 42, 6410 Goldau, Switzerland",Switzerland
Science and Technology of the Northern Minas Gerais,"Av. Ruy Braga S/N, Vila Mauriceia, Montes Claros - MG, Brazil",Brazil
Sciencecom Denmark,"Aggersvoldvej 22 st, 2700 Brønshøj, Denmark",Denmark
Sciences Po,"27 Rue Saint-Guillaume, 75007 Paris, France",France
Sealytix,"Njalsgade 76, 4th Floor, 2300 Copenhagen S, Denmark ",Denmark 
Seoul National University,"1 Gwanak-ro, Gwanak-gu, Seoul, South Korea",South Korea
Shahid Beheshti University,"Tehran Province, Tehran, District 1, Daneshjou Blvd, Q9XV+XG7, 19839 69411, Iran",Iran
Shahjalal University of Science and Technology,"University Ave, Sylhet 3114, Bangladesh",Bangladesh
Shanghai International Studies University,"550 Dalian Road, Hongkou District, Shanghai, 200083, China",China
Shanghai Jiao Tong University,"China, Shanghai, Minhang District, 东川路 邮政编码: 200240",China
Shanghai University of International Business and Economics,"1900 Wenxiang Rd, Songjiang District, Shanghai, China, 201613",China
Sheffield Hallam University,"Howard St, Sheffield City Centre, Sheffield S1 1WB, UK",UK
Sheffield Teaching Hospital,"Royal Hallamshire Hospital, Broomhill, Glossop Rd, Sheffield S10 2JF, UK",UK
"Shenkar College of Engineering, Design and Art","Anne Frank St 12, Ramat Gan, Israel",Israel
SICS  RISE,"Ole Römers väg 5A, 223 63 Lund, Sweden",Sweden
Simon Fraser University,"8888 University Dr W, Burnaby, BC V5A 1S6, Canada",Canada
Simula Metropolitan Center for Digital Engineering AS,"Pilestredet 52, 0167 Oslo, Norway",Norway
Singapore Management University,"81 Victoria St, Singapore 188065",Singapore
Slovak University of Technology,"public@stuba.sk, Vazovova 5, 811 07 Bratislava, Slovakia",Slovakia
Snowflake,"Bozeman, Montana, USA",USA
Social Shaping Research LTD,"23 Kings Rd, Cambridge CB3 9DY, UK",UK
"Social Spaces, LUCA School of Arts","Paleizenstraat 70, 1030 Brussels, Belgium",Belgium
SocialSquare,"Vermundsgade 13-15, 2100 Copenhagen, Denmark​",Denmark​
Södertörn University,"Alfred Nobels allé 7, 141 89 Huddinge, Sweden",Sweden
Sofia University St. Kliment Ohridski,"Sofia Center, Tsar Osvoboditel Blvd 15, 1504 Sofia, Bulgaria",Bulgaria
Sorbonne University,"21 Rue de l'École de Médecine, 75006 Paris, France",France
Southern Methodist University,"Dallas, TX 75205, USA",USA
Southern University of Science and Technology (SUSTech),"1088 Xueyuan Blvd, Nanshan, Shenzhen, Guangdong Province, China, 518055",China
Southwestern University,"1001 E University Ave, Georgetown, TX 78626, USA",USA
Spanish National Research Council,"C. de Serrano, 117, Chamartín, 28006 Madrid, Spain",Spain
"Srishti Manipal Institute of Art, Design and Technology","40/D Marilingiah Building 2nd Cross Rd Yelahanka New Town KHB Colony Bangalore Karnataka 560106 IN, 2nd Cross Rd, Bengaluru, Karnataka 560064, India",India
St. Petersburg State University,"University Embankment, 7/9, St Petersburg, Russia, 199034",Russia
St. Pölten University of Applied Sciences,"Campus-Platz 1, 3100 St. Pölten, Austria",Austria
Stanford University,"450 Jane Stanford Way, Stanford, CA 94305, USA",USA
Statens Naturhistoriske Museum,"Øster Voldgade 5-7, 1350 Copenhagen, Denmark.",Denmark.
STEIM,"Achtergracht 19, 1017 WL Amsterdam, Netherlands",Netherlands
Stetson University,"421 N Woodland Blvd, DeLand, FL 32723, USA",USA
Stockholm School of Economics,"Sveavägen 65, 113 83 Stockholm, Sweden",Sweden
Stockholm University,"Frescativägen, 114 19 Stockholm, Sweden",Sweden
Stony Brook University,"100 Nicolls Rd, Stony Brook, NY 11794, USA",USA
Strategy&,"300 Madison Avenue, New York, NY 10017, US",USA
Studio C,"Bredgade 25A, 2. Sal, 1260 København",Denmark
Sudan University of Science & Technology,"Al Siteen Street, Khartoum, Sudan",Sudan
Swedish Institute of Computer Science,"Isafjordsgatan 22, 164 40 Kista, Sweden",Sweden
Swinburne University of Technology,"John St, Hawthorn VIC 3122, Australia",Australia
Swiss Federal Institute of Technology Zürich,"Rämistrasse 101, 8092 Zürich, Switzerland",Switzerland
Swiss National Science Foundation,"Wildhainweg 3, 3001 Bern, Switzerland",Switzerland
Syracuse University,"900 S Crouse Ave, Syracuse, NY 13244, USA",USA
Tactile Entertainment A/S,"Vestergade 33, 1456 København",Denmark
Tallinn University,"Narva mnt 25, 10120 Tallinn, Estonia",Estonia
Tallinn University of Technology,"Ehitajate tee 5, 19086 Tallinn, Estonia",Estonia
Tampere University,"Kalevantie 4, 33100 Tampere, Finland",Finland
Tampere University of Technology - Former organisation.  31/12/2018.  Taken over by Tampere University,"Korkeakoulunkatu 10, 33720 Tampere, Finland",Finland
Tax office of Denmark,"Crowne Plaza Copenhagen Towers, an IHG Hotel, Hannemanns Allé 25, 2300 København",Denmark
Technical University of Berlin,"Straße des 17. Juni 135, 10623 Berlin, Germany",Germany
Technical University of Braunschweig,"Universitätspl. 2, 38106 Braunschweig, Germany",Germany
Technical University of Denmark,"Anker Engelunds Vej 1, Bygning 101A, 2800 Kongens Lyngby",Denmark
Technical University of Dresden,"01069 Dresden, Germany",Germany
Technical University of Madrid,"Moncloa - Aravaca, 28040 Madrid, Spain",Spain
Technical University of Munich,"Arcisstraße 21, 80333 München, Germany",Germany
Technion - Israel Institute of Technology,"Haifa, 3200003, Israel",Israel
